1;Con il pallone in gioco, un portiere effettua con i piedi dei segni non autorizzati sul terreno di gioco, prolungando le linee perpendicolari che delimitano l'area di porta, al fine di meglio orientarsi. L'Arbitro...;attende la prima interruzione di gioco ed ammonisce il portiere per comportamento antisportivo;interrompe il gioco, assegna un calcio di punizione indiretto ed ammonisce il portiere per comportamento antisportivo;lascia che il gioco prosegua in quanto questo comportamento è permesso;A; ; ; ; ; ; ; 
2;Di norma le Società di Eccellenza sono obbligate a provvedere allo sgombero della neve fino a 48 ore prima dell'orario ufficiale previsto per l'inizio della gara.;VERO;FALSO;Dipende se il terreno di gioco è riscaldato;B; ; ; ; ; ; ; 
3;Il giudizio sulla impraticabilità del terreno di gioco, per intemperie o per ogni altra causa, compete all'Arbitro designato a dirigere la gara ...;alla presenza dei capitani delle due squadre;in accordo con i capitani delle due squadre;è sufficiente la presenza di uno dei capitani;A; ; ; ; ; ; ; 
4;In caso di insufficiente visibilità causa nebbia, l'Arbitro deve essere in grado di vedere ...;da una porta, la totalità del terreno di gioco, compresa la porta opposta;dal centrocampo, entrambe le porte;le linee laterali;A; ; ; ; ; ; ; 
5;L'Arbitro può procedere all'accertamento dell'impraticabilità del terreno di gioco prima dell'ora fissata per l'inizio della gara...;si, anche in assenza dei capitani delle squadre;si, nel caso in cui l'impraticabilità risulti sicuramente non rimediabile;no, deve obbligatoriamente effettuare un sopralluogo sul terreno di gioco;B; ; ; ; ; ; ; 
6;La pubblicità verticale dovrà essere collocata almeno...;a 1 m dalle linee laterali, 1 m dalla rete di porta, 1 m dalla linea di porta;a 1,5 m dalle linee laterali, 1,5 m dalla rete di porta, una distanza dalla linea di porta pari alla profondità della rete della porta;a 1 m dalle linee laterali, 1 m dalla rete di porta, una distanza dalla linea di porta pari alla profondità della rete della porta;C; ; ; ; ; ; ; 
7;Le gare possono essere giocate su superfici...;solo naturali;naturali o, se il regolamento lo consente, interamente artificiali o combinazione integrata di materiali artificiali e naturali (sistema ibrido);di qualunque materiale che non crei difficoltà al gioco;B; ; ; ; ; ; ; 
8;Le reti delle porte devono essere applicate in modo che siano distanti...;nella parte superiore, almeno 50 cm dalla traversa e, nella parte inferiore almeno 1,50 m dalla linea di porta;nella parte superiore, almeno 1,50 m dalla traversa e, nella parte inferiore almeno 1,50 m dalla linea di porta;nella parte superiore, almeno 1,50 m dalla traversa e, nella parte inferiore almeno 50 cm dalla linea di porta;A; ; ; ; ; ; ; 
9;"Laddove siano utilizzate superfici artificiali, sono consentite altre linee ...";si, purché siano di un colore differente e chiaramente distinguibili dalle linee del terreno di gioco per il calcio;no, mai;si, ma solo al di fuori delle aree di rigore;A; ; ; ; ; ; ; 
10;Qualora l'impraticabilità del terreno di gioco fosse ritenuta irrimediabile entro l'ora fissata per l'inizio della gara, l'Arbitro ...;deve procedere all'identificazione di tutti i calciatori e dirigenti delle due squadre;può prescindere dall'identificazione di tutti i calciatori, ad eccezione dei due capitani;è sufficiente l'identificazione del dirigente accompagnatore ufficiale delle due squadre;B; ; ; ; ; ; ; 
11;A ciascun angolo del terreno di gioco deve essere fissata una bandierina...;con asta non appuntita e con una altezza massima di 1,50.;di materiale plastico e di altezza di 1,50 m;con asta non appuntita e con una altezza minima di 1,50.;C; ; ; ; ; ; ; 
12;Di norma, il recinto di gioco è costituito ...;dagli spogliatoi e dal terreno di gioco delimitato da una recenzione;"dal terreno di gioco, dal campo per destinazione, dall'area tecnica, da eventuali piste atletiche ed è delimitato da una recinzione";l'intera struttura sportiva comprendente terreno di gioco, spogliatoi ed eventuali tribune per il pubblico;B; ; ; ; ; ; ; 
13;Di norma, il recinto di gioco è protetto obbligatoriamente da una rete metallica la cui altezza minima è ...;1 metro;1,50 metri;2,20 metri;C; ; ; ; ; ; ; 
14;E' possibile che la larghezza delle linee del terreno di gioco e di entrambi i pali e la traversa delle porte sia...;inferiore a 12 cm;superiore a 12 cm;inferiore a 10 cm;A; ; ; ; ; ; ; 
15;I sistemi tecnologici per verificare se una rete è stata segnata (GLT) possono essere utilizzati solo nei massimi campionati nazionali.;Solo durante le gare di playoff;VERO;Falso, dipende dal regolamento della competizione;C; ; ; ; ; ; ; 
16;L'altezza della porta si misura partendo dal suolo fino...;al bordo superiore della traversa;al bordo inferiore della traversa;a metà dello spessore della traversa;B; ; ; ; ; ; ; 
17;L'Arbitro giunge al campo di gioco per un gara di eccellenza e constata che le misure delle porte del terreno di gioco sono 7,30 x 2,45. Dovrà...;non iniziare la gara;iniziare la gara e poi riportare il tutto sul referto di gara;iniziare la gara perché le misure sono quelle consentite;C; ; ; ; ; ; ; 
18;L'Arbitro potrà prendere in considerazione reclami per irregolarità sulle misure del terreno di gioco, delle porte e del pallone...;se il capitano della squadra reclamante avrà presentato una riserva verbale durante lo svolgimento della gara;solo se la squadra reclamante gli avrà presentato una riserva scritta prima dell'inizio della gara;in nessun caso;B; ; ; ; ; ; ; 
19;L'area tecnica si estende...;lateralmente un metro e mezzo per parte oltre le panchine e, in avanti, fino ad un metro e mezzo dalla linea laterale;lateralmente un metro per parte oltre le panchine e, in avanti, fino ad un metro e mezzo dalla linea laterale;lateralmente un metro per parte oltre le panchine e, in avanti, fino ad un metro dalla linea laterale;C; ; ; ; ; ; ; 
20;L'asta della bandierina d'angolo deve avere...;un'altezza minima di 1,50 m e non deve essere appuntita;un'altezza minima di 1,50 m e deve essere appuntita;un'altezza massima di 1,50 m e non deve essere appuntita;A; ; ; ; ; ; ; 
21;L'impraticabilità del terreno di gioco per insufficiente visibilità a causa della nebbia si constata ...;quando l'Arbitro non è in grado di vedere, da una porta, la totalità del terreno di gioco, compresa la porta opposta;quando l'Arbitro non è in grado di vedere, da centrocampo, la totalità del terreno di gioco, comprese le due porte;quando l'Arbitro non è in grado di vedere, da una linea laterale, la totalità del terreno di gioco;A; ; ; ; ; ; ; 
22;L'indicazione della segnatura di una rete è comunicata dal sistema GLT...;soltanto al quarto Ufficiale di gara;soltanto agli Ufficiali di gara;anche ai capitani delle squadre se da loro richiesto prima dell'inizio della gara;B; ; ; ; ; ; ; 
23;La nebbia è una causa di immediata sospensione definitiva della gara?;No. Qualora l'Arbitro ritenga che questo impedimento sia solo temporaneo inviterà le squadre a tenersi a disposizione per il tempo che terrà opportuno entro il limite massimo previsto dalle Decisioni FIGC;Si;No. Qualora l'Arbitro ritenga che questo impedimento sia solo temporaneo inviterà le squadre a tenersi a disposizione per il tempo che lui terrà opportuno;A; ; ; ; ; ; ; 
24;La distanza che separa i due pali della porta è di 7,32 m ed il bordo inferiore della traversa è situato ...;a 2,48 m dal suolo;a 2,34 m dal suolo;a 2,44 m dal suolo;C; ; ; ; ; ; ; 
25;La riproduzione reale o virtuale di loghi o emblemi delle Leghe è vietata sul terreno di gioco e sulle reti delle porte.;E' permessa solo durante le gare di playoff o spareggio;Sempre;Dipende dall'organizzatore della manifestazione;B; ; ; ; ; ; ; 
26;"Le linee che delimitano i lati più lunghi del terreno sono denominate ""linee laterali""; quelle che delimitano i lati più corti ""linee di fondo"".";VERO;"Falso. ""Linee di porta"" per i lati più corti";"Falso. Tutte linee sono denominate ""linee laterali""";B; ; ; ; ; ; ; 
27;Nelle gare della Lega Nazionale Dilettanti, le misure della porta prevedono una tolleranza di 2 centimetri in più o in meno.;VERO;Falso. Non esiste tolleranza;Falso. La tolleranza è di 1 centimetro in più o in meno;A; ; ; ; ; ; ; 
